CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
11;Rondônia;Privada;Total;233,84;244,6;290,27;296,77;312,01;318,82;1,18;3,14;6,35;12,29;17,39;22,43;19,18;10,38;6,04;1,63;0,56;1,28;3,43;9,38;17,37;22,29;22,89;11,98;8,38;2,31;0,12;4,85;4,49;8,55;14,83;20,48;23,13;16,87;6,62;0,19;3,24;5,09;8,6;14,53;18,48;20,09;16,36;9;4,61;0;4,72;5,42;9,49;16,96;17,53;24,23;16,75;4,71;0,18;4,63;6,22;8,5;14,34;19,48;19,81;12,81;6,82;5,29;2,12;0
11;Rondônia;Privada;Urbana;234,44;245,16;292,46;300,27;316,03;323,9;1,17;3,15;6,11;12,34;16,79;22,43;19,56;10,61;6,2;1,64;0,59;1,35;3,32;9,15;17,12;22,21;23,05;12,16;8,52;2,42;0,13;4,43;4,04;8,48;14,26;18,91;24,63;17,85;7,19;0,21;2,88;4,7;7,81;13,17;18,41;20,11;17,88;9,87;5,18;0;5,35;3,71;7,1;14,97;18,66;26,26;18,39;5,35;0,2;5,25;4,62;5,98;12,6;20,26;20,64;14,53;7,73;5,99;2,4;0
11;Rondônia;Total - Estadual e Municipal;Rural;192,62;208,51;246,51;253,84;264,26;264,26;4,85;12,51;19,04;22,23;18,15;12,75;7,11;2,37;0,83;0,17;0,96;5,84;15,67;22,82;22,04;16,27;9,31;4,88;1,51;0,65;0,05;15,16;16,45;20,4;20,97;15,99;8,22;2,32;0,5;0;10,83;14,44;20,45;22,36;17,56;10,14;3,4;0,58;0,23;0;15,38;20,22;26,48;19,97;8,79;8,23;0,93;0;0;18,77;15,61;24,62;24,35;9,8;2,62;4,23;0;0;0;0
11;Rondônia;Total - Estadual e Municipal;Total;202,2;216,68;253,39;256,76;275,61;275,7;3,33;9,51;16,77;20,32;19,61;14,82;9,48;4,08;1,7;0,38;0,76;4,38;12,23;20,37;21,65;18,2;12,28;6,58;2,61;0,88;0,04;13,54;13,77;18,9;20,08;17,38;10,64;4,53;1,14;0,03;11,18;13,2;18,7;20,86;19,1;11,46;3,93;1,23;0,33;0;14,99;13,79;18,45;20,71;17,31;10,21;3,9;0,6;0,04;14,94;13,76;19,09;21,19;15,93;9,95;4;0,93;0,15;0,05;0
11;Rondônia;Total - Estadual e Municipal;Urbana;204,18;218,37;254,19;257,1;275,8;275,89;3,02;8,89;16,31;19,92;19,91;15,25;9,97;4,43;1,88;0,43;0,72;4,08;11,52;19,86;21,57;18,59;12,9;6,94;2,84;0,93;0,04;13,35;13,45;18,72;19,98;17,54;10,92;4,79;1,21;0,03;11,22;13,05;18,5;20,69;19,28;11,62;3,99;1,31;0,35;0;14,98;13,68;18,32;20,72;17,46;10,24;3,95;0,61;0,05;14,88;13,73;19;21,14;16,04;10,07;4;0,95;0,15;0,05;0
11;Rondônia;Total - Federal, Estadual e Municipal;Rural;192,62;208,51;246,51;253,84;264,26;264,26;4,85;12,51;19,04;22,23;18,15;12,75;7,11;2,37;0,83;0,17;0,96;5,84;15,67;22,82;22,04;16,27;9,31;4,88;1,51;0,65;0,05;15,16;16,45;20,4;20,97;15,99;8,22;2,32;0,5;0;10,83;14,44;20,45;22,36;17,56;10,14;3,4;0,58;0,23;0;15,38;20,22;26,48;19,97;8,79;8,23;0,93;0;0;18,77;15,61;24,62;24,35;9,8;2,62;4,23;0;0;0;0
11;Rondônia;Total - Federal, Estadual e Municipal;Total;202,2;216,68;253,39;256,76;275,61;275,7;3,33;9,51;16,77;20,32;19,61;14,82;9,48;4,08;1,7;0,38;0,76;4,38;12,23;20,37;21,65;18,2;12,28;6,58;2,61;0,88;0,04;13,54;13,77;18,9;20,08;17,38;10,64;4,53;1,14;0,03;11,18;13,2;18,7;20,86;19,1;11,46;3,93;1,23;0,33;0;14,99;13,79;18,45;20,71;17,31;10,21;3,9;0,6;0,04;14,94;13,76;19,09;21,19;15,93;9,95;4;0,93;0,15;0,05;0
11;Rondônia;Total - Federal, Estadual e Municipal;Urbana;204,18;218,37;254,19;257,1;275,8;275,89;3,02;8,89;16,31;19,92;19,91;15,25;9,97;4,43;1,88;0,43;0,72;4,08;11,52;19,86;21,57;18,59;12,9;6,94;2,84;0,93;0,04;13,35;13,45;18,72;19,98;17,54;10,92;4,79;1,21;0,03;11,22;13,05;18,5;20,69;19,28;11,62;3,99;1,31;0,35;0;14,98;13,68;18,32;20,72;17,46;10,24;3,95;0,61;0,05;14,88;13,73;19;21,14;16,04;10,07;4;0,95;0,15;0,05;0
11;Rondônia;Total - Federal, Estadual, Municipal e Privada;Rural;193,52;209,28;248,61;255;270,3;269,93;4,74;12,21;18,79;21,89;18,51;13,05;7,24;2,48;0,9;0,21;0,93;5,66;15,36;22,55;22,06;16,51;9,63;4,99;1,64;0,63;0,04;14,6;15,77;19,49;20,85;17,4;8,44;2,84;0,62;0;10,46;13,93;20,01;22,63;17,68;10,94;3,45;0,69;0,21;0;10,15;19,53;26,75;24;8,89;8,52;2,16;0;0;12,38;16,49;25,52;25,35;11,1;6,37;2,79;0;0;0;0
11;Rondônia;Total - Federal, Estadual, Municipal e Privada;Total;205,55;219,64;256,27;259,89;278,06;278,6;3,11;8,84;15,67;19,47;19,37;15,62;10,5;4,74;2,16;0,52;0,74;4,06;11,3;19,21;21,2;18,63;13,41;7,16;3,22;1,03;0,05;12,86;13,04;18,09;19,67;17,62;11,61;5,5;1,57;0,04;10,56;12,56;17,91;20,37;19,05;12,14;4,9;1,84;0,67;0;14,3;13,23;17,85;20,46;17,33;11,15;4,76;0,87;0,05;14,25;13,25;18,38;20,73;16,17;10,62;4,59;1,33;0,5;0,19;0
11;Rondônia;Total - Federal, Estadual, Municipal e Privada;Urbana;207,81;221,59;257,17;260,46;278,25;278,81;2,8;8,2;15,08;19,01;19,53;16,11;11,12;5,17;2,4;0,57;0,7;3,76;10,54;18,58;21,04;19,03;14,12;7,56;3,52;1,11;0,05;12,66;12,72;17,93;19,54;17,65;11,99;5,81;1,68;0,04;10,57;12,4;17,67;20,1;19,21;12,28;5,07;1,97;0,72;0;14,4;13,08;17,64;20,37;17,53;11,21;4,82;0,89;0,05;14,29;13,17;18,2;20,62;16,29;10,72;4,64;1,36;0,51;0,19;0
12;Acre;Estadual;Rural;202,31;214,22;244,1;244,37;260,82;260,94;2,44;9,73;15,64;19,85;22,4;16,27;8,63;4,16;0,78;0,1;0,88;4,38;14,2;20,6;21,08;17,32;12,03;6,83;1,93;0,75;0;18,26;16,65;19,83;17,58;16,1;8,11;2,8;0,68;0;17,89;15,58;19,72;19,81;17,17;7,33;1,92;0,36;0,22;0;21,91;15,83;24,38;21,29;10,6;4,64;1,07;0,27;0;21,26;19,15;22,86;17,54;11,74;4,69;2,32;0,45;0;0;0
12;Acre;Estadual;Total;219,18;234,5;254,36;255,02;267,39;265,21;1,67;5,86;10,84;16,01;19,71;19,1;15,11;7,49;3,57;0,63;0,56;2,28;8,1;13,86;18,51;18,95;17,11;11,94;5,9;2,76;0,03;14,54;13,17;17,61;18,57;17,45;11,84;5,48;1,3;0,04;13,28;12,95;17,57;20,96;18,59;10,94;4,23;1,14;0,34;0;20,14;15,27;18,67;19,93;14,59;8,31;2,58;0,5;0;21,13;16,17;20,44;18,46;13,17;6,71;2,88;0,89;0,14;0;0
12;Acre;Estadual;Urbana;222,1;238,02;256,14;256,87;268,17;265,72;1,54;5,19;10,01;15,35;19,24;19,59;16,23;8,07;4,05;0,72;0,51;1,91;7,05;12,69;18,07;19,23;17,99;12,83;6,58;3,1;0,04;13,89;12,57;17,23;18,74;17,69;12,48;5,94;1,41;0,05;12,48;12,49;17,19;21,16;18,84;11,56;4,63;1,27;0,36;0;19,93;15,21;17,99;19,76;15,07;8,76;2,76;0,53;0;21,12;15,81;20,15;18,57;13,34;6,96;2,95;0,94;0,16;0;0
12;Acre;Federal;Total;238,25;230,78;273,16;294,46;317,47;332,18;0;4,17;8,33;0;16,67;29,17;29,17;12,5;0;0;0;0;8,33;16,67;4,17;33,33;33,33;4,17;0;0;0;3,51;7,02;19,3;15,79;28,06;19,3;7,01;0;0;1,76;3,51;15,79;7,02;24,56;22,81;19,3;3,51;1,76;0;0;0;16,67;11,9;21,43;26,19;23,81;0;0;0;0;7,14;11,9;16,67;33,33;21,43;9,52;0;0;0
12;Acre;Federal;Urbana;238,25;230,78;273,16;294,46;317,47;332,18;0;4,17;8,33;0;16,67;29,17;29,17;12,5;0;0;0;0;8,33;16,67;4,17;33,33;33,33;4,17;0;0;0;3,51;7,02;19,3;15,79;28,06;19,3;7,01;0;0;1,76;3,51;15,79;7,02;24,56;22,81;19,3;3,51;1,76;0;0;0;16,67;11,9;21,43;26,19;23,81;0;0;0;0;7,14;11,9;16,67;33,33;21,43;9,52;0;0;0
12;Acre;Municipal;Rural;193,85;206,57;232,85;233,63;;;6,05;13,48;16,08;20,65;18,75;13,55;6,97;2,61;1,79;0,08;1,7;7,2;16,91;20,43;23,06;14,11;8,78;4,63;2,38;0,73;0,07;23,26;19,63;22,13;20,9;6,89;5,42;1,54;0,21;0;24,63;19,77;18,59;18,4;11,41;5,62;1,27;0;0,32;0;;;;;;;;;;;;;;;;;;;;
12;Acre;Municipal;Total;205,23;219,81;237,13;239,76;;;3,74;9,38;14,63;18,97;19,58;15,7;10,35;4,98;2,32;0,35;1,02;5,22;12,19;17,55;20,6;17;12,55;8,32;3,84;1,56;0,13;21,09;18,09;21,29;20,26;12,03;5,54;1,25;0,45;0;20,13;18,67;19,25;19,37;13,46;7,44;1,06;0,25;0,37;0;;;;;;;;;;;;;;;;;;;;
12;Acre;Municipal;Urbana;208,26;223,34;241,18;245,57;;;3,12;8,28;14,25;18,52;19,8;16,28;11,25;5,62;2,46;0,42;0,84;4,7;10,94;16,78;19,94;17,77;13,56;9,31;4,23;1,79;0,15;19,03;16,62;20,5;19,65;16,9;5,66;0,97;0,67;0;15,87;17,63;19,88;20,29;15,4;9,16;0,87;0,49;0,42;0;;;;;;;;;;;;;;;;;;;;
12;Acre;Privada;Total;243,6;258,11;298,01;303,67;329,86;334,38;1,34;1,84;3,71;7,84;15,68;22,53;22,83;16,2;7,15;0,88;0,26;0,79;3,56;4,81;12,53;18,79;22,97;20,32;9,11;6,59;0,26;3,58;3,38;8,38;10,15;19,17;26,81;17,36;10,93;0,24;2,21;3,48;5,49;10,29;24,95;20,73;17,4;10,89;4,56;0;0,56;2,53;4,5;10,27;19,74;31,58;23,88;6,94;0;1,69;4,41;5,94;13,16;14,77;21,26;17,77;9,56;10,32;1,12;0
12;Acre;Privada;Urbana;243,6;258,11;298,01;303,67;329,86;334,38;1,34;1,84;3,71;7,84;15,68;22,53;22,83;16,2;7,15;0,88;0,26;0,79;3,56;4,81;12,53;18,79;22,97;20,32;9,11;6,59;0,26;3,58;3,38;8,38;10,15;19,17;26,81;17,36;10,93;0,24;2,21;3,48;5,49;10,29;24,95;20,73;17,4;10,89;4,56;0;0,56;2,53;4,5;10,27;19,74;31,58;23,88;6,94;0;1,69;4,41;5,94;13,16;14,77;21,26;17,77;9,56;10,32;1,12;0
12;Acre;Total - Estadual e Municipal;Rural;197,15;209,55;241,61;241,99;260,82;260,94;4,64;12,02;15,91;20,34;20,17;14,61;7,61;3,22;1,4;0,09;1,38;6,1;15,86;20,5;22,29;15,36;10,05;5,49;2,2;0,74;0,04;19,36;17,31;20,34;18,31;14,06;7,51;2,52;0,58;0;19,38;16,51;19,47;19,5;15,89;6,95;1,78;0,28;0,24;0;21,91;15,83;24,38;21,29;10,6;4,64;1,07;0,27;0;21,26;19,15;22,86;17,54;11,74;4,69;2,32;0,45;0;0;0
12;Acre;Total - Estadual e Municipal;Total;211,87;226,8;252,99;253,81;267,39;265,21;2,76;7,7;12,83;17,56;19,64;17,32;12,61;6,18;2,91;0,48;0,8;3,82;10,25;15,79;19,61;17,93;14,72;10,04;4,82;2,13;0,09;15,06;13,56;17,91;18,7;17,02;11,34;5,14;1,23;0,04;13,83;13,41;17,7;20,84;18,18;10,66;3,98;1,07;0,34;0;20,14;15,27;18,67;19,93;14,59;8,31;2,58;0,5;0;21,13;16,17;20,44;18,46;13,17;6,71;2,88;0,89;0,14;0;0
12;Acre;Total - Estadual e Municipal;Urbana;215,12;230,61;255,4;256,31;268,17;265,72;2,34;6,75;12,15;16,95;19,52;17,92;13,72;6,83;3,25;0,57;0,68;3,32;9,01;14,76;19,01;18,49;15,75;11,05;5,4;2,44;0,09;14,15;12,77;17,39;18,78;17,65;12,15;5,7;1,37;0,05;12,65;12,75;17,33;21,12;18,67;11,44;4,44;1,23;0,36;0;19,93;15,21;17,99;19,76;15,07;8,76;2,76;0,53;0;21,12;15,81;20,15;18,57;13,34;6,96;2,95;0,94;0,16;0;0
12;Acre;Total - Federal, Estadual e Municipal;Rural;197,15;209,55;241,61;241,99;260,82;260,94;4,64;12,02;15,91;20,34;20,17;14,61;7,61;3,22;1,4;0,09;1,38;6,1;15,86;20,5;22,29;15,36;10,05;5,49;2,2;0,74;0,04;19,36;17,31;20,34;18,31;14,06;7,51;2,52;0,58;0;19,38;16,51;19,47;19,5;15,89;6,95;1,78;0,28;0,24;0;21,91;15,83;24,38;21,29;10,6;4,64;1,07;0,27;0;21,26;19,15;22,86;17,54;11,74;4,69;2,32;0,45;0;0;0
12;Acre;Total - Federal, Estadual e Municipal;Total;211,92;226,81;253,09;254,01;267,65;265,56;2,75;7,7;12,82;17,53;19,64;17,34;12,64;6,19;2,91;0,48;0,8;3,81;10,24;15,8;19,58;17,95;14,76;10,03;4,81;2,13;0,09;15;13,53;17,91;18,69;17,08;11,38;5,15;1,23;0,04;13,77;13,36;17,69;20,77;18,21;10,72;4,06;1,08;0,35;0;20,03;15,2;18,66;19,89;14,63;8,41;2,69;0,5;0;21,02;16,09;20,37;18,42;13,18;6,85;2,98;0,93;0,14;0;0
12;Acre;Total - Federal, Estadual e Municipal;Urbana;215,17;230,61;255,51;256,54;268,46;266,11;2,33;6,75;12,14;16,91;19,52;17,94;13,75;6,84;3,24;0,57;0,68;3,31;9,01;14,76;18,98;18,52;15,79;11,04;5,39;2,43;0,09;14,08;12,73;17,4;18,77;17,71;12,19;5,71;1,36;0,05;12,58;12,69;17,32;21,03;18,7;11,51;4,54;1,25;0,37;0;19,81;15,12;17,98;19,72;15,11;8,86;2,88;0,52;0;21;15,72;20,08;18,53;13,36;7,11;3,06;0,99;0,16;0;0
12;Acre;Total - Federal, Estadual, Municipal e Privada;Rural;197,15;209,55;241,61;241,99;260,82;260,94;4,64;12,02;15,91;20,34;20,17;14,61;7,61;3,22;1,4;0,09;1,38;6,1;15,86;20,5;22,29;15,36;10,05;5,49;2,2;0,74;0,04;19,36;17,31;20,34;18,31;14,06;7,51;2,52;0,58;0;19,38;16,51;19,47;19,5;15,89;6,95;1,78;0,28;0,24;0;21,91;15,83;24,38;21,29;10,6;4,64;1,07;0,27;0;21,26;19,15;22,86;17,54;11,74;4,69;2,32;0,45;0;0;0
12;Acre;Total - Federal, Estadual, Municipal e Privada;Total;213,77;228,64;255,43;256,6;270,98;269,24;2,67;7,36;12,29;16,96;19,4;17,64;13,24;6,77;3,16;0,51;0,77;3,64;9,85;15,15;19,17;18;15,24;10,64;5,06;2,39;0,1;14,41;13;17,42;18,24;17,19;12,18;5,79;1,73;0,05;13,16;12,84;17,06;20,22;18,56;11,24;4,75;1,59;0,57;0;18,99;14,52;17,91;19,37;14,9;9,65;3,82;0,84;0;19,99;15,46;19,6;18,14;13,27;7,62;3,77;1,4;0,69;0,06;0
12;Acre;Total - Federal, Estadual, Municipal e Privada;Urbana;217,17;232,55;258,16;259,48;272,12;270,18;2,26;6,4;11,55;16,27;19,25;18,27;14,39;7,5;3,51;0,59;0,65;3,13;8,62;14,06;18,53;18,54;16,3;11,69;5,65;2,73;0,11;13,43;12,15;16,84;18,23;17,8;13,1;6,43;1,96;0,06;11,94;12,12;16,58;20,36;19,09;12,09;5,34;1,85;0,63;0;18,66;14,37;17,18;19,16;15,39;10,21;4,13;0,91;0;19,84;15,05;19,23;18,21;13,44;7,95;3,94;1,5;0,77;0,07;0
13;Amazonas;Estadual;Rural;162,34;180,36;216,23;215,11;222,89;217,49;18,65;28,13;19,8;15,79;9,92;3,22;2,73;1,55;0,21;0;4,33;22,61;23,46;21,44;13,11;8,44;3,56;2,5;0,43;0,11;0;41,38;16,67;16,03;13,8;7,42;3,68;0,65;0,37;0;41,51;17,68;17,34;12,39;7,62;2,75;0,51;0,21;0;0;55,88;20,83;13,74;6,14;2,36;0,8;0,22;0,03;0;61,64;18,54;11,2;5,49;2,34;0,58;0,18;0,04;0;0;0
13;Amazonas;Estadual;Total;209,88;219,2;249,3;247,45;250,72;243,76;4,5;9,31;13,14;16,06;17,64;16,15;12,26;6,87;3,56;0,52;1,25;5,42;12,47;18,14;19,26;17,19;12,59;8,02;3,95;1,67;0,04;17,03;14,58;18,46;18,47;15,17;10,51;4,58;1,16;0,03;17,13;15,91;18,8;18,99;15,47;8,52;3,45;1,3;0,43;0;32,07;18,81;18,64;14,38;9,42;4,84;1,54;0,31;0;38,05;18,23;17,49;13,32;7,68;3,51;1,22;0,38;0,1;0,02;0
13;Amazonas;Estadual;Urbana;212,1;221,02;251,48;249,58;255,97;248,71;3,84;8,43;12,83;16,07;18;16,75;12,7;7,12;3,71;0,54;1,1;4,62;11,96;17,98;19,55;17,6;13,01;8,28;4,12;1,74;0,04;15,42;14,44;18,62;18,78;15,68;10,96;4,84;1,22;0,04;15,52;15,79;18,89;19,43;15,99;8,9;3,65;1,37;0,46;0;27,58;18,43;19,56;15,93;10,75;5,6;1,78;0,36;0;33,6;18,17;18,68;14,8;8,69;4,07;1,42;0,44;0,12;0,02;0
13;Amazonas;Federal;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Amazonas;Federal;Total;;;294,66;319,49;320,71;334,39;;;;;;;;;;;;;;;;;;;;;;8,92;3,58;2,14;14,86;15,32;20,38;23,69;11,1;0;2,9;2,17;5,06;5,93;8,91;25,88;18,98;19,18;10,98;0;2,95;5,21;6,2;16,79;14,24;27,46;17,76;9,39;0;3,22;3,89;6,73;15,29;13,66;12,61;17,52;19,01;5,49;2,57;0
13;Amazonas;Federal;Urbana;;;294,66;319,49;320,71;334,39;;;;;;;;;;;;;;;;;;;;;;8,92;3,58;2,14;14,86;15,32;20,38;23,69;11,1;0;2,9;2,17;5,06;5,93;8,91;25,88;18,98;19,18;10,98;0;2,95;5,21;6,2;16,79;14,24;27,46;17,76;9,39;0;3,22;3,89;6,73;15,29;13,66;12,61;17,52;19,01;5,49;2,57;0
13;Amazonas;Municipal;Rural;163,85;179,63;217,15;216,76;;;18,48;25,16;22,92;13,91;9,98;5,4;2,66;1,08;0,38;0,03;5,65;18,66;26,54;22,54;13,55;7,08;3,69;1,67;0,45;0,16;0,01;37,67;21,56;17,43;12,75;6,86;2,98;0,67;0,09;0;38,12;20,4;18,69;13,24;6,29;2,37;0,74;0,09;0,05;0;;;;;;;;;;;;;;;;;;;;
13;Amazonas;Municipal;Total;190,23;203,84;241,17;238,7;;;8,83;15,12;17,71;17,17;16,11;12,45;7,58;3,39;1,39;0,25;2,62;9,77;17,56;20,65;18,36;13,59;9,33;5,08;2,21;0,8;0,03;20,55;16,85;19,08;18,56;13,99;7,75;2,58;0,63;0,02;21,2;17,19;20,4;19,3;12,93;6,42;1,95;0,47;0,14;0;;;;;;;;;;;;;;;;;;;;
13;Amazonas;Municipal;Urbana;197,3;210,33;251,26;247,91;;;6,24;12,43;16,31;18,05;17,75;14,34;8,89;4,01;1,66;0,31;1,81;7,39;15,15;20,14;19,65;15,33;10,84;5,99;2,69;0,97;0,03;13,36;14,87;19,77;20,99;16,98;9,76;3,38;0,86;0,03;14,1;15,84;21,11;21,84;15,71;8,12;2,46;0,63;0,18;0;;;;;;;;;;;;;;;;;;;;
13;Amazonas;Privada;Rural;217,47;228,13;245,02;265,52;296,7;289,34;0;5,26;10,53;15,79;21,05;31,58;10,53;0;5,26;0;0;0;0;15,79;31,58;36,84;10,53;5,26;0;0;0;8;24;28;20;8;12;0;0;0;12;12;8;16;36;4;12;0;0;0;8,7;8,7;21,74;4,35;21,74;17,39;17,39;0;0;13,04;13,04;13,04;8,7;17,39;26,09;8,7;0;0;0;0
13;Amazonas;Privada;Total;241,22;249,02;287,95;289,77;310,51;308,29;0,59;2;4,99;10,35;16,54;21,03;20,5;15,49;7,46;1,04;0,32;1,23;3,77;9,23;15,66;19,38;21,52;16,31;8,1;4,29;0,18;5,82;4,79;9,17;14,97;18,91;23,46;16,69;5,8;0,39;4,87;5,75;10,56;14,11;21,75;18,96;11,58;8,27;4,16;0;7,58;4,19;7,83;15,11;20,74;23,79;14,92;5,42;0,41;7,67;8,95;11,12;13,59;15,78;20,22;11,55;6,73;3,07;1,31;0
