CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
11;Rondônia;Federal;Rural;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Rural;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Total;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Total;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Total;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Urbana;Capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Urbana;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Federal;Urbana;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Rural;Capital;195,14;206,22;246;241,81;0;0;10,63;19,58;23,39;18,66;11,7;6,95;2,91;1,63;0,31;1,36;5,92;16,37;23,22;24,14;14,06;7,9;4,87;1,5;0,47;0,19;13,01;15,06;24,08;23,52;18,53;5,4;0,41;0;0;16,11;15,95;26,78;20,62;14,91;4,84;0,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Rural;Interior;196,5;209,79;249,98;254,77;0;0;10,77;19,06;21,11;20,27;13,79;7,22;2,75;1,1;0,23;1,36;5,52;14,38;21,62;22,41;17,94;10,49;4,24;1,72;0,3;0,03;13,37;14,82;21,24;22,16;16,3;8,28;2,92;0,91;0;9,05;14,98;22,52;21,7;16,79;9,57;4,14;0,85;0,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Rural;Total;196,2;208,98;249,57;253,44;0;0;10,74;19,18;21,62;19,9;13,32;7,16;2,78;1,22;0,25;1,36;5,61;14,83;21,98;22,8;17,06;9,9;4,38;1,67;0,34;0,06;13,33;14,85;21,53;22,3;16,52;7,99;2,66;0,82;0;9,77;15,08;22,96;21,59;16,6;9,08;3,79;0,76;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Total;Capital;201,08;207,63;245,05;238,81;0;0;8,91;16,79;23,39;21,14;14,41;7,76;3,55;1,35;0,36;0,93;5,47;15,47;22,81;23,72;16,38;9,69;3,97;1,22;0,24;0,11;15,08;15,45;22,01;22,17;18,82;5,33;1,14;0;0;17,62;20,03;22,85;20,06;13,94;4,93;0,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Total;Interior;206,36;218,5;252,84;256,09;0;0;8,03;15,65;19,79;20,65;16,14;10,26;4,65;1,8;0,51;0,8;4,13;11,6;18,84;21,7;19,5;13,13;6,67;2,59;0,84;0,19;11,5;14,09;21,22;22,19;17,94;8,91;3,21;0,94;0;8,8;13,93;22,08;23,03;16,87;9,4;4,52;0,95;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Total;Total;204,93;215,55;252,04;254,32;0;0;8,27;15,96;20,77;20,78;15,67;9,58;4,35;1,68;0,47;0,84;4,49;12,65;19,91;22,25;18,65;12,2;5,93;2,22;0,68;0,17;11,86;14,23;21,3;22,19;18,03;8,54;3;0,84;0;9,71;14,56;22,16;22,73;16,57;8,94;4,12;0,86;0,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Urbana;Capital;202,84;208,04;242,53;230,79;0;0;8,4;15,97;23,4;21,88;15,21;8;3,73;1,27;0,37;0,8;5,33;15,21;22,68;23,6;17,06;10,22;3,7;1,14;0,17;0,08;20,6;16,49;16,5;18,57;19,59;5,15;3,1;0;0;21,64;30,93;12,37;18,56;11,35;5,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Urbana;Interior;210,36;222,05;260,38;259,56;0;0;6,91;14,26;19,25;20,8;17,09;11,49;5,43;2,09;0,62;0,58;3,56;10,46;17,71;21,42;20,14;14,21;7,66;2,95;1,06;0,25;6,57;12,17;21,16;22,27;22,27;10,56;3,98;1,02;0;8,16;11,18;20,93;26,55;17,08;8,96;5,55;1,24;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Municipal;Urbana;Total;208,2;218,02;258,57;256,64;0;0;7,34;14,75;20,45;21,11;16,55;10,49;4,94;1,85;0,55;0,64;4,07;11,83;19,14;22,04;19,25;13,06;6,52;2,43;0,81;0,2;7,99;12,61;20,68;21,9;22;10,01;3,89;0,91;0;9,53;13,19;20,06;25,74;16,49;8,57;4,98;1,11;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Privada;Rural;Capital;216,07;227,15;0;0;0;0;0;14,29;28,57;21,43;21,43;7,14;0;7,14;0;0;0;14,29;0;21,43;50;7,14;7,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Rondônia;Privada;Rural;Interior;0;0;271,14;267,96;273,59;283,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,11;25,93;18,52;29,63;7,41;7,41;0;0;7,41;3,7;14,81;29,63;25,93;11,11;3,7;3,7;0;0;10,96;19,18;19,18;21,92;17,81;10,96;0;0;0;13,7;16,44;9,59;20,55;21,92;12,33;5,48;0;0;0;0
11;Rondônia;Privada;Rural;Total;216,07;227,15;271,14;267,96;273,59;283,41;0;14,29;28,57;21,43;21,43;7,14;0;7,14;0;0;0;14,29;0;21,43;50;7,14;7,14;0;0;0;0;11,11;25,93;18,52;29,63;7,41;7,41;0;0;7,41;3,7;14,81;29,63;25,93;11,11;3,7;3,7;0;0;10,96;19,18;19,18;21,92;17,81;10,96;0;0;0;13,7;16,44;9,59;20,55;21,92;12,33;5,48;0;0;0;0
11;Rondônia;Privada;Total;Capital;237,98;246,21;297,46;298,42;307,51;315,48;3,72;5,4;8,06;17,68;24,62;20,83;10,83;7,19;0,89;0,54;1,2;4,05;9,49;16,05;19,24;23,68;16,54;6,5;2,33;0,38;2,14;2,67;6,68;17,43;18,04;24,18;20,64;8,22;0;2,87;5,21;7,48;11,62;21,98;21,64;15,3;10,62;2,61;0,67;8,33;6,72;8,6;14,25;19,35;22,04;12,9;6,45;1,34;9,68;6,18;11,29;9,41;13,71;16,94;17,47;9,14;5,11;1,08;0
11;Rondônia;Privada;Total;Interior;248,86;259,72;296,56;306,94;306,89;319,7;2,15;2,92;5,58;15,4;22,37;20,66;16,98;11,09;1,58;0;0;3,74;6,72;9,44;19,39;24,02;19,39;11,53;4,25;1,52;2,38;5,23;7,91;14,33;18,07;24,45;16,95;10,67;0;2,31;2,48;8,15;8,36;20,53;18,55;22,06;12,8;3,88;0,88;6,03;7,07;11,55;14,89;23,09;18,12;13,96;4,99;0,29;3,8;7,42;10,12;13,48;18;16,42;16,15;8,9;3,91;1,81;0
11;Rondônia;Privada;Total;Total;242,93;252,36;297,02;302,56;307,2;317,56;3,01;4,27;6,93;16,64;23,6;20,75;13,63;8,97;1,21;0,3;0,65;3,91;8,23;13,04;19,31;23,83;17,84;8,79;3,2;0,9;2,26;3,92;7,28;15,93;18,05;24,31;18,85;9,41;0;2,6;3,88;7,81;10,04;21,27;20,14;18,58;11,68;3,22;0,77;7,2;6,89;10,06;14,56;21,2;20,1;13,43;5,73;0,82;6,77;6,79;10,71;11,42;15,83;16,68;16,82;9,02;4,51;1,44;0
11;Rondônia;Privada;Urbana;Capital;238,32;246,5;297,46;298,42;307,51;315,48;3,78;5,26;7,75;17,62;24,67;21,04;11;7,2;0,91;0,55;1,22;3,9;9,63;15,97;18,77;23,93;16,69;6,6;2,37;0,38;2,14;2,67;6,68;17,43;18,04;24,18;20,64;8,22;0;2,87;5,21;7,48;11,62;21,98;21,64;15,3;10,62;2,61;0,67;8,33;6,72;8,6;14,25;19,35;22,04;12,9;6,45;1,34;9,68;6,18;11,29;9,41;13,71;16,94;17,47;9,14;5,11;1,08;0
11;Rondônia;Privada;Urbana;Interior;248,86;259,72;299,31;311,16;309,85;322,93;2,15;2,92;5,58;15,4;22,37;20,66;16,98;11,09;1,58;0;0;3,74;6,72;9,44;19,39;24,02;19,39;11,53;4,25;1,52;2,64;4,59;5,96;13,88;16,81;26,3;17,99;11,83;0;1,76;2,35;7,43;6,06;19,94;19,35;24,05;13,78;4,3;0,98;5,59;5,99;10,87;14,26;23,56;18,75;15,21;5,44;0,32;2,92;6,62;10,17;12,84;17,65;16,78;17,1;9,69;4,26;1,97;0
11;Rondônia;Privada;Urbana;Total;243,16;252,57;298,31;304,28;308,62;319;3,03;4,18;6,75;16,6;23,62;20,86;13,74;8,98;1,22;0,3;0,66;3,82;8,3;12,97;19,05;23,97;17,93;8,86;3,23;0,9;2,37;3,56;6,35;15,8;17,47;25,15;19,42;9,88;0;2,36;3,89;7,46;9,06;21,04;20,59;19,32;12,08;3,39;0,81;7,04;6,37;9,68;14,25;21,34;20,49;13,99;5,97;0,86;6,48;6,39;10,76;11,03;15,57;16,86;17,3;9,4;4,7;1,5;0
11;Rondônia;Total - Estadual e Municipal;Rural;Capital;197,21;208,54;256,17;255,52;254,71;258,22;10,12;18,31;22,16;20,65;12,34;7,54;3,15;1,4;0,35;1,17;5,26;15,04;22,86;24,77;14,8;8,26;5,58;1,62;0,48;0,17;10,61;12,94;20,63;20,76;20,86;9,24;3,36;1,61;0;10,02;12,16;23,21;23,41;17,41;9,36;3,42;0,56;0,23;0,22;27,89;19,79;19,38;18,16;11,43;1,82;1,14;0,39;0;19,68;21,56;27,9;14;11,93;3,62;0,95;0,35;0;0;0
11;Rondônia;Total - Estadual e Municipal;Rural;Interior;197,53;210,31;249,05;252,94;251,52;254,47;10,59;18,61;21,03;20;14,17;7,73;2,87;1,14;0,29;1,26;5,28;14,06;21,46;23,09;17,86;10,48;4,53;1,65;0,31;0,02;13,5;15,36;21,52;22,17;15,68;8,19;2,77;0,81;0;9,82;15,12;23,94;21,53;16,09;8,71;3,55;0,9;0,32;0;27,94;19,45;20,91;19,07;8,28;3,61;0,51;0,23;0;25,53;17,97;24,02;19,39;9,28;3,23;0,58;0;0;0;0
11;Rondônia;Total - Estadual e Municipal;Rural;Total;197,46;209,88;250,79;253,57;252,75;255,91;10,48;18,54;21,3;20,16;13,73;7,69;2,94;1,2;0,31;1,24;5,27;14,3;21,8;23,5;17,12;9,94;4,78;1,64;0,35;0,06;12,79;14,77;21,3;21,83;16,95;8,44;2,91;1;0;9,87;14,4;23,76;21,99;16,42;8,87;3,52;0,82;0,3;0,05;27,92;19,58;20,32;18,72;9,49;2,92;0,75;0,29;0;23,28;19,35;25,51;17,32;10,3;3,38;0,72;0,14;0;0;0
11;Rondônia;Total - Estadual e Municipal;Total;Capital;205,13;211,07;257,47;252,59;271,15;269,99;8,15;15,47;21,78;21,2;15,37;9,19;4,5;1,72;0,44;0,76;4,96;14,16;21,96;23,17;17,1;10,85;5,06;1,51;0,36;0,12;10,42;12,34;19,13;21,74;20,43;10,85;3,64;1,44;0;10,91;15,95;21,98;21,25;15,87;9;3,88;0,81;0,26;0,08;17,89;14,65;19,15;19,15;16,22;8,69;3,44;0,82;0;18,11;17,16;18,65;19,15;13,88;8,15;3,52;1,08;0,17;0,13;0
11;Rondônia;Total - Estadual e Municipal;Total;Interior;211,75;223,44;259,03;259,76;261,72;266,39;6,86;13,65;18,82;20,4;17,28;11,94;5,94;2,36;0,65;0,67;3,52;10,06;17,29;20,84;20,15;14,56;8,08;3,43;1,15;0,24;10,17;11,99;18,12;22,15;20;11,63;4,49;1,44;0;8,47;12,24;20,75;22,14;18,49;11,2;4,96;1,38;0,31;0,06;22,93;17,2;19,47;19,15;13,01;6,09;1,78;0,35;0,03;18,24;18,81;21,1;18,19;13,22;7,41;2,41;0,56;0,06;0,01;0
11;Rondônia;Total - Estadual e Municipal;Total;Total;209,95;220,08;258,61;257,82;264,19;267,34;7,21;14,14;19,63;20,62;16,76;11,19;5,55;2,18;0,59;0,7;3,91;11,17;18,56;21,47;19,32;13,55;7,26;2,91;0,93;0,21;10,24;12,08;18,39;22,04;20,12;11,42;4,26;1,44;0;9,13;13,24;21,09;21,9;17,78;10,61;4,67;1,23;0,29;0,06;21,61;16,53;19,39;19,15;13,85;6,77;2,22;0,47;0,02;18,21;18,37;20,46;18,44;13,39;7,6;2,7;0,69;0,09;0,04;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Capital;206,91;211,64;257,73;251,99;272,7;271,1;7,7;14,83;21,7;21,32;16,05;9,56;4,81;1,79;0,46;0,67;4,89;13,96;21,76;22,8;17,62;11,44;4,94;1,48;0,33;0,11;10,39;12,22;18,82;21,94;20,35;11,18;3,7;1,41;0;11,09;16,73;21,73;20,81;15,56;8,93;3,98;0,86;0,27;0,05;16,95;14,16;19,12;19,24;16,67;9,34;3,65;0,86;0;17,96;16,74;17,78;19,63;14,07;8,58;3,76;1,15;0,19;0,14;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Interior;215,66;227,05;261,43;261,4;262,24;267,01;5,83;12,28;18,22;20,51;18,13;13,1;6,78;2,69;0,74;0,51;3,04;8,95;16,14;20,23;20,78;15,69;9,06;3,91;1,38;0,3;9,36;11,18;17,3;22,15;21,05;12,47;4,91;1,59;0;8,14;11,54;19,99;22,29;19,07;11,81;5,3;1,5;0,3;0,07;22,67;17,08;19,4;19,15;13,26;6,22;1,85;0,36;0,03;17,86;18,85;20,95;18,12;13,42;7,62;2,51;0,59;0,06;0,01;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Total;213,21;222,74;260,42;258,81;264,91;268,05;6,35;12,99;19,19;20,74;17,55;12,11;6,23;2,44;0,66;0,56;3,56;10,35;17,71;20,95;19,9;14,5;7,91;3,24;1,09;0,25;9,64;11,46;17,72;22,09;20,86;12,11;4,58;1,54;0;8,95;12,97;20,47;21,88;18,1;11,01;4,93;1,32;0,29;0,06;21,21;16,34;19,33;19,17;14,13;7,01;2,31;0,48;0,02;17,89;18,31;20,14;18,51;13,59;7,87;2,83;0,73;0,1;0,05;0
11;Rondônia;Total - Federal, Estadual e Municipal;Rural;Capital;197,21;208,54;256,17;255,52;254,71;258,22;10,12;18,31;22,16;20,65;12,34;7,54;3,15;1,4;0,35;1,17;5,26;15,04;22,86;24,77;14,8;8,26;5,58;1,62;0,48;0,17;10,61;12,94;20,63;20,76;20,86;9,24;3,36;1,61;0;10,02;12,16;23,21;23,41;17,41;9,36;3,42;0,56;0,23;0,22;27,89;19,79;19,38;18,16;11,43;1,82;1,14;0,39;0;19,68;21,56;27,9;14;11,93;3,62;0,95;0,35;0;0;0
11;Rondônia;Total - Federal, Estadual e Municipal;Rural;Interior;197,53;210,31;249,05;252,94;251,52;254,47;10,59;18,61;21,03;20;14,17;7,73;2,87;1,14;0,29;1,26;5,28;14,06;21,46;23,09;17,86;10,48;4,53;1,65;0,31;0,02;13,5;15,36;21,52;22,17;15,68;8,19;2,77;0,81;0;9,82;15,12;23,94;21,53;16,09;8,71;3,55;0,9;0,32;0;27,94;19,45;20,91;19,07;8,28;3,61;0,51;0,23;0;25,53;17,97;24,02;19,39;9,28;3,23;0,58;0;0;0;0
11;Rondônia;Total - Federal, Estadual e Municipal;Rural;Total;197,46;209,88;250,79;253,57;252,75;255,91;10,48;18,54;21,3;20,16;13,73;7,69;2,94;1,2;0,31;1,24;5,27;14,3;21,8;23,5;17,12;9,94;4,78;1,64;0,35;0,06;12,79;14,77;21,3;21,83;16,95;8,44;2,91;1;0;9,87;14,4;23,76;21,99;16,42;8,87;3,52;0,82;0,3;0,05;27,92;19,58;20,32;18,72;9,49;2,92;0,75;0,29;0;23,28;19,35;25,51;17,32;10,3;3,38;0,72;0,14;0;0;0
11;Rondônia;Total - Federal, Estadual e Municipal;Total;Capital;205,13;211,07;257,47;252,59;271,15;269,99;8,15;15,47;21,78;21,2;15,37;9,19;4,5;1,72;0,44;0,76;4,96;14,16;21,96;23,17;17,1;10,85;5,06;1,51;0,36;0,12;10,42;12,34;19,13;21,74;20,43;10,85;3,64;1,44;0;10,91;15,95;21,98;21,25;15,87;9;3,88;0,81;0,26;0,08;17,89;14,65;19,15;19,15;16,22;8,69;3,44;0,82;0;18,11;17,16;18,65;19,15;13,88;8,15;3,52;1,08;0,17;0,13;0
11;Rondônia;Total - Federal, Estadual e Municipal;Total;Interior;211,75;223,44;259,03;259,76;261,72;266,39;6,86;13,65;18,82;20,4;17,28;11,94;5,94;2,36;0,65;0,67;3,52;10,06;17,29;20,84;20,15;14,56;8,08;3,43;1,15;0,24;10,17;11,99;18,12;22,15;20;11,63;4,49;1,44;0;8,47;12,24;20,75;22,14;18,49;11,2;4,96;1,38;0,31;0,06;22,93;17,2;19,47;19,15;13,01;6,09;1,78;0,35;0,03;18,24;18,81;21,1;18,19;13,22;7,41;2,41;0,56;0,06;0,01;0
11;Rondônia;Total - Federal, Estadual e Municipal;Total;Total;209,95;220,08;258,61;257,82;264,19;267,34;7,21;14,14;19,63;20,62;16,76;11,19;5,55;2,18;0,59;0,7;3,91;11,17;18,56;21,47;19,32;13,55;7,26;2,91;0,93;0,21;10,24;12,08;18,39;22,04;20,12;11,42;4,26;1,44;0;9,13;13,24;21,09;21,9;17,78;10,61;4,67;1,23;0,29;0,06;21,61;16,53;19,39;19,15;13,85;6,77;2,22;0,47;0,02;18,21;18,37;20,46;18,44;13,39;7,6;2,7;0,69;0,09;0,04;0
