CO_REGIAO;NO_REGIAO;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
1;Norte;Federal;Rural;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Federal;Rural;Total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Federal;Total;Capital;242,7;240,02;301,46;313,75;324,08;335,69;1,84;4,63;7,15;20,07;22,46;20,4;15,05;5,11;2,83;0,46;1,38;4,26;9,16;21,35;25,44;16,78;12,72;5,63;2,82;0;2,32;3,13;5;11,59;20,37;26,38;21,55;9,65;0;2,1;1,58;6,39;11,76;15,67;16,73;22,09;15,04;6,49;2,14;3,53;2,34;5,78;10,4;20,94;31,43;16,17;8,28;1,13;2,54;6,04;6,99;9,07;12,47;19,67;17,98;14;8,21;3,02;0
1;Norte;Federal;Total;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Federal;Total;Total;242,7;240,02;301,46;313,75;324,08;335,69;1,84;4,63;7,15;20,07;22,46;20,4;15,05;5,11;2,83;0,46;1,38;4,26;9,16;21,35;25,44;16,78;12,72;5,63;2,82;0;2,32;3,13;5;11,59;20,37;26,38;21,55;9,65;0;2,1;1,58;6,39;11,76;15,67;16,73;22,09;15,04;6,49;2,14;3,53;2,34;5,78;10,4;20,94;31,43;16,17;8,28;1,13;2,54;6,04;6,99;9,07;12,47;19,67;17,98;14;8,21;3,02;0
1;Norte;Federal;Urbana;Capital;242,7;240,02;301,46;313,75;324,08;335,69;1,84;4,63;7,15;20,07;22,46;20,4;15,05;5,11;2,83;0,46;1,38;4,26;9,16;21,35;25,44;16,78;12,72;5,63;2,82;0;2,32;3,13;5;11,59;20,37;26,38;21,55;9,65;0;2,1;1,58;6,39;11,76;15,67;16,73;22,09;15,04;6,49;2,14;3,53;2,34;5,78;10,4;20,94;31,43;16,17;8,28;1,13;2,54;6,04;6,99;9,07;12,47;19,67;17,98;14;8,21;3,02;0
1;Norte;Federal;Urbana;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Federal;Urbana;Total;242,7;240,02;301,46;313,75;324,08;335,69;1,84;4,63;7,15;20,07;22,46;20,4;15,05;5,11;2,83;0,46;1,38;4,26;9,16;21,35;25,44;16,78;12,72;5,63;2,82;0;2,32;3,13;5;11,59;20,37;26,38;21,55;9,65;0;2,1;1,58;6,39;11,76;15,67;16,73;22,09;15,04;6,49;2,14;3,53;2,34;5,78;10,4;20,94;31,43;16,17;8,28;1,13;2,54;6,04;6,99;9,07;12,47;19,67;17,98;14;8,21;3,02;0
1;Norte;Municipal;Rural;Capital;197,06;208,12;249,45;243,71;0;0;11,06;18,05;20,45;19,5;13,58;7,76;3,29;1,4;0,35;1,69;6,47;15,75;21,93;21,4;14,6;9,8;5,8;1,97;0,49;0,1;12,93;14,31;22,77;22,24;16,97;7,83;2,33;0,62;0;16,38;15,93;23,35;21,86;12,83;7,02;2,06;0,24;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Municipal;Rural;Interior;169,66;181,26;222,75;221,89;0;0;23,94;24,77;17,25;11,42;6,06;2,9;1,05;0,36;0,06;3,6;17,17;27,8;24,22;14,36;7,59;3,53;1,28;0,35;0,08;0,01;31,73;21,93;20,25;14,54;7,63;2,88;0,83;0,22;0;30,44;24,2;22,27;13,32;6,25;2,49;0,81;0,16;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Municipal;Rural;Total;171,12;182,69;223,47;222,48;0;0;23,25;24,41;17,42;11,85;6,46;3,16;1,17;0,42;0,07;3,49;16,6;27,16;24,1;14,74;7,97;3,87;1,52;0,44;0,1;0,01;31,22;21,72;20,32;14,75;7,88;3,01;0,87;0,23;0;30,06;23,97;22,3;13,55;6,42;2,61;0,85;0,17;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Municipal;Total;Capital;208,53;217,62;259,65;252,32;0;0;7,97;13,75;19,19;20,11;17,04;11,03;5,41;2,07;0,54;1,04;5;12,32;19,18;20,58;17,44;13,08;7;3,12;0,99;0,24;9,23;12,21;18,89;22,34;19,53;11,66;4,63;1,51;0;12,17;15,6;22,01;20,18;15,08;8,82;4,29;1,34;0,43;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Municipal;Total;Interior;184,54;193,77;233,9;230,37;234,96;241,9;17,03;21,49;19,72;15,52;10,17;5,39;2,31;0,75;0,19;2,24;11,58;22,24;24,06;18,07;11,65;6,37;2,69;0,83;0,22;0,05;23,92;19,07;20,85;17,66;11,39;5,15;1,52;0,44;0;24,3;22,13;22,89;15,93;8,91;4,13;1,3;0,34;0,07;0,01;35,38;25,71;28,3;10,61;0;0;0;0;0;31,38;20,51;22,17;19,81;4,01;2,12;0;0;0;0;0
1;Norte;Municipal;Total;Total;189,47;198,68;237,29;233,26;234,96;241,9;15,16;19,9;19,61;16,47;11,58;6,55;2,95;1,02;0,26;1,99;10,22;20,2;23,06;18,59;12,84;7,75;3,58;1,3;0,38;0,09;21,98;18,16;20,59;18,28;12,46;6,01;1,93;0,58;0;22,7;21,27;22,78;16,49;9,72;4,75;1,7;0,47;0,11;0,02;35,38;25,71;28,3;10,61;0;0;0;0;0;31,38;20,51;22,17;19,81;4,01;2,12;0;0;0;0;0
1;Norte;Municipal;Urbana;Capital;209,34;218,29;260,44;252,98;0;0;7,75;13,44;19,1;20,16;17,28;11,26;5,56;2,12;0,55;0,99;4,9;12,08;18,98;20,52;17,64;13,32;7,09;3,21;1,02;0,25;8,94;12,05;18,6;22,35;19,73;11,96;4,8;1,58;0;11,85;15,58;21,91;20,05;15,25;8,95;4,46;1,43;0,43;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Municipal;Urbana;Interior;190,98;199,19;241,06;235,81;234,96;241,9;14,03;20,08;20,79;17,3;11,95;6,47;2,86;0,92;0,25;1,65;9,15;19,83;23,99;19,68;13,41;7,59;3,3;1,03;0,28;0,07;18,91;17,23;21,23;19,67;13,81;6,61;1,96;0,58;0;20,35;20,8;23,29;17,6;10,62;5,18;1,62;0,46;0,07;0,01;35,38;25,71;28,3;10,61;0;0;0;0;0;31,38;20,51;22,17;19,81;4,01;2,12;0;0;0;0;0
1;Norte;Municipal;Urbana;Total;195,7;204,11;244,7;239,04;234,96;241,9;12,42;18,37;20,35;18,03;13,32;7,7;3,55;1,22;0,33;1,48;8,06;17,84;22,71;19,89;14,5;9,07;4,28;1,59;0,47;0,12;17,03;16,25;20,74;20,17;14,92;7,61;2,5;0,77;0;18,75;19,81;23,03;18,06;11,49;5,89;2,15;0,64;0,14;0,03;35,38;25,71;28,3;10,61;0;0;0;0;0;31,38;20,51;22,17;19,81;4,01;2,12;0;0;0;0;0
1;Norte;Privada;Rural;Capital;216,07;227,15;0;0;0;0;0;14,29;28,57;21,43;21,43;7,14;0;7,14;0;0;0;14,29;0;21,43;50;7,14;7,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Norte;Privada;Rural;Interior;195,28;208,72;252,96;250,57;272,96;274,35;9,23;23,36;20,94;16,78;11,66;8,78;4,29;0;0,4;0,84;6,48;14,18;25,01;22,56;13,75;10,35;3,84;1,69;1,3;0;11,31;9,08;30,11;19,57;15,66;11,76;2,5;0;0;13,59;6,95;27,71;24,72;14,41;8,81;2,89;0,92;0;0;21,92;10,45;14,26;20,09;12,93;14,37;5,5;0,47;0;18,65;14,71;12,66;23,08;14,57;8,99;3,62;3,24;0,47;0;0
1;Norte;Privada;Rural;Total;196,49;209,8;252,96;250,57;272,96;274,35;8,7;22,83;21,38;17,05;12,23;8,69;4,04;0,42;0,38;0,8;6,1;14,19;23,55;22,49;15,86;10,17;4,03;1,6;1,22;0;11,31;9,08;30,11;19,57;15,66;11,76;2,5;0;0;13,59;6,95;27,71;24,72;14,41;8,81;2,89;0,92;0;0;21,92;10,45;14,26;20,09;12,93;14,37;5,5;0,47;0;18,65;14,71;12,66;23,08;14,57;8,99;3,62;3,24;0,47;0;0
1;Norte;Privada;Total;Capital;237,35;241,64;286,85;284,88;310,86;318,11;2,26;5,76;12,18;16,77;22,31;21,05;11,51;6,12;1,51;0,29;1,2;6,03;10,45;16,51;22,02;20,78;13,42;6,38;2,37;0,56;4,58;5,38;9,21;17,22;22,03;20,64;14,29;6,67;0;4,72;8,07;12,34;15,6;19,64;17,73;12,43;6,29;2,71;0,47;6,78;5,04;9,22;13,96;20,92;22,21;15,7;5,33;0,85;6,69;7,71;10,54;12,02;15,27;17,27;11,33;10,37;5,93;2,83;0,03
1;Norte;Privada;Total;Interior;235,8;236,88;286,9;283,36;301,48;311,69;3,23;5,58;12,87;16,98;23,34;17,92;11,77;5,46;2,27;0,44;1,96;5,06;14,55;19,06;20,06;18,85;12,02;5,17;1,92;0,9;3,86;5,04;10,67;16,01;22,05;23,92;12,09;6,35;0;4,66;7,77;12,4;17,72;19,08;18,61;12,27;5,75;1,42;0,31;8,54;6,14;13,23;14,82;22,28;19,48;11,47;3,5;0,55;6,18;7,14;11,92;15,06;19,11;16,57;12,25;6,05;3,97;1,76;0
1;Norte;Privada;Total;Total;236,7;239,66;286,87;284,26;307,17;315,58;2,66;5,69;12,47;16,86;22,74;19,75;11,62;5,85;1,83;0,35;1,52;5,63;12,15;17,57;21,21;19,98;12,84;5,88;2,19;0,7;4,29;5,24;9,8;16,73;22,04;21,97;13,39;6,54;0;4,69;7,95;12,37;16,47;19,41;18,08;12,36;6,07;2,19;0,41;7,47;5,48;10,79;14,3;21,45;21,13;14,04;4,61;0,73;6,49;7,48;11,08;13,22;16,78;16,99;11,69;8,67;5,16;2,41;0,02
1;Norte;Privada;Urbana;Capital;237,37;241,65;286,85;284,88;310,86;318,11;2,26;5,75;12,16;16,76;22,31;21,06;11,52;6,12;1,51;0,29;1,2;6,02;10,47;16,5;21,99;20,79;13,42;6,39;2,38;0,56;4,58;5,38;9,21;17,22;22,03;20,64;14,29;6,67;0;4,72;8,07;12,34;15,6;19,64;17,73;12,43;6,29;2,71;0,47;6,78;5,04;9,22;13,96;20,92;22,21;15,7;5,33;0,85;6,69;7,71;10,54;12,02;15,27;17,27;11,33;10,37;5,93;2,83;0,03
1;Norte;Privada;Urbana;Interior;236,87;237,62;288,15;284,57;302,72;313,32;3,07;5,11;12,66;16,99;23,65;18,16;11,97;5,61;2,32;0,43;1,84;4,82;14,27;18,97;20,23;19,07;12,24;5,26;1,94;0,92;3,59;4,89;9,95;15,88;22,29;24,37;12,45;6,59;0;4,32;7,8;11,84;17,47;19,25;18,97;12,62;5,93;1,48;0,33;7,96;5,96;13,18;14,59;22,68;19,7;11,73;3,63;0,57;5,64;6,81;11,89;14,71;19,31;16,9;12,63;6,18;4,12;1,84;0
1;Norte;Privada;Urbana;Total;237,17;240,01;287,37;284,76;307,74;316,27;2,59;5,49;12,36;16,85;22,86;19,88;11,71;5,91;1,84;0,35;1,46;5,53;12,02;17,51;21,27;20,09;12,94;5,93;2,2;0,71;4,18;5,18;9,5;16,68;22,14;22,12;13,55;6,64;0;4,56;7,97;12,14;16,34;19,48;18,22;12,5;6,15;2,22;0,41;7,23;5,39;10,74;14,2;21,59;21,25;14,18;4,68;0,74;6,29;7,36;11,06;13,05;16,82;17,13;11,83;8,76;5,24;2,45;0,02
1;Norte;Total - Estadual e Municipal;Rural;Capital;194,78;205,37;244,72;240,84;243,19;243,21;11,79;18,25;20,01;19,32;13,16;7,11;3,17;1,32;0,29;1,81;7,49;16,89;22,27;20,94;14,13;8,86;5,35;1,7;0,44;0,12;17,99;15,6;20,72;19,46;15,21;7,38;2,64;1;0;18,09;18,56;22,7;19,59;11,63;6,48;2,37;0,27;0,23;0,07;34,73;23,85;18,84;12,94;7,15;1,4;0,9;0,2;0;33,19;24,23;21,34;11,03;7,39;2,13;0,49;0,09;0,11;0;0
1;Norte;Total - Estadual e Municipal;Rural;Interior;170,08;181,58;223,14;222,11;227,16;229;23,77;24,56;17,2;11,48;6,21;3,04;1,12;0,37;0,06;3,62;17,12;27,55;24,12;14,42;7,68;3,65;1,35;0,39;0,08;0,01;31,88;21,28;20,05;14,7;7,98;3,06;0,84;0,22;0;30,66;23,74;22,17;13,32;6,38;2,64;0,84;0,19;0,06;0;52,01;19,78;14,16;8,97;3,63;1,16;0,25;0,05;0;48,28;22,64;16,03;7,96;3,55;1,21;0,29;0,03;0,01;0;0
1;Norte;Total - Estadual e Municipal;Rural;Total;171,8;183,24;224,46;223,26;228,34;230,05;22,94;24,12;17,39;12,03;6,7;3,32;1,26;0,44;0,08;3,49;16,45;26,81;23,99;14,88;8,13;4,02;1,63;0,48;0,1;0,02;31,03;20,93;20,09;14,99;8,42;3,32;0,95;0,26;0;29,89;23,42;22,21;13,7;6,7;2,88;0,93;0,19;0,07;0,01;50,74;20,08;14,5;9,26;3,89;1,17;0,3;0,06;0;47,17;22,76;16,42;8,18;3,83;1,28;0,3;0,03;0,02;0;0
1;Norte;Total - Estadual e Municipal;Total;Capital;208,33;216,5;253,11;245,7;252,99;249,38;8,32;14,01;18,74;19,77;16,6;11,01;5,7;2,19;0,55;1,09;5,28;13,08;19,41;20,28;17,04;12,53;6,92;3,12;0,97;0,27;14,05;13,38;18,58;20,39;17,73;10,49;3,97;1,4;0;15,93;17,8;21,57;18,95;13,43;7,68;3,23;1,04;0,3;0,06;30,95;17,49;17,83;15,5;10,91;5,17;1,75;0,37;0,01;31,89;20,94;19,04;13,45;8,15;4,16;1,64;0,52;0,19;0,03;0
1;Norte;Total - Estadual e Municipal;Total;Interior;187,63;196,89;238,56;235,06;241,56;241,92;15,98;20,56;19,49;15,91;10,93;6,18;2,79;0,97;0,26;2,08;10,85;21,02;23,36;18,21;12,32;7,22;3,31;1,18;0,35;0,1;21,52;17,62;20,23;18,52;13,01;6,39;2,08;0,64;0;21,91;20,53;22,52;16,85;10,33;5,24;1,93;0,56;0,13;0,02;39,2;19,43;17,25;12,81;7,27;3,01;0,86;0,16;0,01;37,07;22,51;18,42;11,53;6,29;2,91;0,96;0,24;0,06;0,01;0
1;Norte;Total - Estadual e Municipal;Total;Total;192,98;201,96;242,65;238,05;245,1;244,23;14;18,86;19,3;16,91;12,4;7,43;3,55;1,29;0,34;1,83;9,41;18,97;22,34;18,74;13,54;8,59;4,24;1,68;0,51;0,14;19,41;16,42;19,76;19,05;14,34;7,55;2,61;0,85;0;20,22;19,76;22,25;17,44;11,2;5,93;2,3;0,69;0,17;0,03;36,64;18,83;17,43;13,65;8,4;3,68;1,14;0,22;0,01;35,46;22,02;18,62;12,12;6,86;3,3;1,17;0,33;0,1;0,02;0
1;Norte;Total - Estadual e Municipal;Urbana;Capital;209,18;217,2;253,5;245,92;253,2;249,52;8,11;13,74;18,66;19,8;16,82;11,26;5,86;2,25;0,57;1,05;5,14;12,85;19,23;20,24;17,22;12,76;7,01;3,21;1,01;0,27;13,87;13,28;18,49;20,44;17,85;10,63;4,03;1,42;0;15,83;17,76;21,52;18,93;13,51;7,74;3,27;1,08;0,3;0,06;30,87;17,35;17,81;15,56;11;5,25;1,77;0,37;0,01;31,86;20,87;18,99;13,5;8,17;4,2;1,66;0,52;0,19;0,03;0
1;Norte;Total - Estadual e Municipal;Urbana;Interior;194,25;202,67;244,12;239,73;243,51;243,67;13,04;19,05;20,35;17,58;12,71;7,37;3,42;1,2;0,34;1,51;8,48;18,55;23,07;19,63;14,07;8,57;4,05;1,48;0,45;0,13;17,77;16,29;20,29;19,9;14,83;7,6;2,53;0,79;0;18,75;19,37;22,64;18,12;11,76;6,17;2,33;0,69;0,15;0,02;37,47;19,38;17,67;13,33;7,76;3,26;0,94;0,17;0,01;35,55;22,5;18,75;12,01;6,65;3,14;1,05;0,27;0,07;0,01;0
1;Norte;Total - Estadual e Municipal;Urbana;Total;198,89;207,19;247,29;241,82;246,74;245,61;11,5;17,4;19,83;18,27;13,99;8,58;4,18;1,53;0,41;1,36;7,44;16,78;21,87;19,82;15,05;9,87;4,97;2,01;0,63;0,18;16,46;15,27;19,68;20,08;15,85;8,62;3,03;1;0;17,76;18,83;22,26;18,4;12,35;6,7;2,65;0,82;0,2;0,04;35,27;18,71;17,72;14,07;8,84;3,92;1,22;0,24;0,01;34,32;21,95;18,83;12,51;7,16;3,49;1,25;0,36;0,11;0,02;0
1;Norte;Total - Federal, Estadual e Municipal;Rural;Capital;194,78;205,37;244,72;240,84;243,19;243,21;11,79;18,25;20,01;19,32;13,16;7,11;3,17;1,32;0,29;1,81;7,49;16,89;22,27;20,94;14,13;8,86;5,35;1,7;0,44;0,12;17,99;15,6;20,72;19,46;15,21;7,38;2,64;1;0;18,09;18,56;22,7;19,59;11,63;6,48;2,37;0,27;0,23;0,07;34,73;23,85;18,84;12,94;7,15;1,4;0,9;0,2;0;33,19;24,23;21,34;11,03;7,39;2,13;0,49;0,09;0,11;0;0
1;Norte;Total - Federal, Estadual e Municipal;Rural;Interior;170,08;181,58;223,14;222,11;227,16;229;23,77;24,56;17,2;11,48;6,21;3,04;1,12;0,37;0,06;3,62;17,12;27,55;24,12;14,42;7,68;3,65;1,35;0,39;0,08;0,01;31,88;21,28;20,05;14,7;7,98;3,06;0,84;0,22;0;30,66;23,74;22,17;13,32;6,38;2,64;0,84;0,19;0,06;0;52,01;19,78;14,16;8,97;3,63;1,16;0,25;0,05;0;48,28;22,64;16,03;7,96;3,55;1,21;0,29;0,03;0,01;0;0
1;Norte;Total - Federal, Estadual e Municipal;Rural;Total;171,8;183,24;224,46;223,26;228,34;230,05;22,94;24,12;17,39;12,03;6,7;3,32;1,26;0,44;0,08;3,49;16,45;26,81;23,99;14,88;8,13;4,02;1,63;0,48;0,1;0,02;31,03;20,93;20,09;14,99;8,42;3,32;0,95;0,26;0;29,89;23,42;22,21;13,7;6,7;2,88;0,93;0,19;0,07;0,01;50,74;20,08;14,5;9,26;3,89;1,17;0,3;0,06;0;47,17;22,76;16,42;8,18;3,83;1,28;0,3;0,03;0,02;0;0
1;Norte;Total - Federal, Estadual e Municipal;Total;Capital;208,43;216,57;253,54;246,31;253,64;250,18;8,3;13,98;18,71;19,77;16,62;11,04;5,73;2,2;0,56;1,09;5,27;13,06;19,38;20,29;17,07;12,55;6,93;3,13;0,98;0,26;13,95;13,29;18,46;20,32;17,75;10,63;4,13;1,47;0;15,81;17,65;21,43;18,89;13,45;7,76;3,4;1,17;0,36;0,08;30,7;17,35;17,72;15,45;11,01;5,42;1,89;0,44;0,02;31,62;20,8;18,93;13,4;8,19;4,3;1,79;0,64;0,27;0,06;0
