CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;MEDIA_13_LP;MEDIA_13_MT;MEDIA_14_LP;MEDIA_14_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LPEMT;nivel_1_LPEMT;nivel_2_LPEMT;nivel_3_LPEMT;nivel_4_LPEMT;nivel_5_LPEMT;nivel_6_LPEMT;nivel_7_LPEMT;nivel_8_LPEMT;nivel_0_MTEMT;nivel_1_MTEMT;nivel_2_MTEMT;nivel_3_MTEMT;nivel_4_MTEMT;nivel_5_MTEMT;nivel_6_MTEMT;nivel_7_MTEMT;nivel_8_MTEMT;nivel_9_MTEMT;nivel_10_MTEMT;nivel_0_LPEMI;nivel_1_LPEMI;nivel_2_LPEMI;nivel_3_LPEMI;nivel_4_LPEMI;nivel_5_LPEMI;nivel_6_LPEMI;nivel_7_LPEMI;nivel_8_LPEMI;nivel_0_MTEMI;nivel_1_MTEMI;nivel_2_MTEMI;nivel_3_MTEMI;nivel_4_MTEMI;nivel_5_MTEMI;nivel_6_MTEMI;nivel_7_MTEMI;nivel_8_MTEMI;nivel_9_MTEMI;nivel_10_MTEMI;nivel_0_LPEM;nivel_1_LPEM;nivel_2_LPEM;nivel_3_LPEM;nivel_4_LPEM;nivel_5_LPEM;nivel_6_LPEM;nivel_7_LPEM;nivel_8_LPEM;nivel_0_MTEM;nivel_1_MTEM;nivel_2_MTEM;nivel_3_MTEM;nivel_4_MTEM;nivel_5_MTEM;nivel_6_MTEM;nivel_7_MTEM;nivel_8_MTEM;nivel_9_MTEM;nivel_10_MTEM
11;Rondônia;Federal;Rural;Total;;;;;;;296,95;289,62;296,95;289,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,28;7,73;13,99;18,54;24,03;17,82;8,09;2,52;0;9,29;9,62;18,92;21,44;16,48;13,44;7,59;2,2;1,02;0;0;7,28;7,73;13,99;18,54;24,03;17,82;8,09;2,52;0;9,29;9,62;18,92;21,44;16,48;13,44;7,59;2,2;1,02;0;0
11;Rondônia;Federal;Total;Capital;;;;;;;308,01;304,69;308,01;304,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,89;4,25;9,47;14,31;20,73;28,34;10,75;4,26;0;5,54;12,88;10,89;14,41;19,12;18,17;9,12;4,35;4,41;1,11;0;7,89;4,25;9,47;14,31;20,73;28,34;10,75;4,26;0;5,54;12,88;10,89;14,41;19,12;18,17;9,12;4,35;4,41;1,11;0
11;Rondônia;Federal;Total;Interior;;;;;;;305,26;295,85;305,26;295,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,99;6,49;10,61;17,69;24,45;20,99;11,83;2,95;0;6,19;10,64;15,68;21,9;18,37;15,2;8,08;2,75;0,96;0,23;0;4,99;6,49;10,61;17,69;24,45;20,99;11,83;2,95;0;6,19;10,64;15,68;21,9;18,37;15,2;8,08;2,75;0,96;0,23;0
11;Rondônia;Federal;Total;Total;;;;;;;305,86;297,78;305,86;297,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,62;6;10,36;16,95;23,64;22,59;11,59;3,24;0;6,05;11,13;14,63;20,26;18,53;15,85;8,31;3,1;1,71;0,42;0;5,62;6;10,36;16,95;23,64;22,59;11,59;3,24;0;6,05;11,13;14,63;20,26;18,53;15,85;8,31;3,1;1,71;0,42;0
11;Rondônia;Federal;Urbana;Capital;;;;;;;308,01;304,69;308,01;304,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,89;4,25;9,47;14,31;20,73;28,34;10,75;4,26;0;5,54;12,88;10,89;14,41;19,12;18,17;9,12;4,35;4,41;1,11;0;7,89;4,25;9,47;14,31;20,73;28,34;10,75;4,26;0;5,54;12,88;10,89;14,41;19,12;18,17;9,12;4,35;4,41;1,11;0
11;Rondônia;Federal;Urbana;Interior;;;;;;;309,1;298,73;309,1;298,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,92;5,92;9,04;17,3;24,64;22,45;13,56;3,15;0;4,76;11,12;14,18;22,11;19,25;16,01;8,31;3;0,93;0,33;0;3,92;5,92;9,04;17,3;24,64;22,45;13,56;3,15;0;4,76;11,12;14,18;22,11;19,25;16,01;8,31;3;0,93;0,33;0
11;Rondônia;Federal;Urbana;Total;;;;;;;308,79;300,46;308,79;300,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,08;5,44;9,17;16,43;23,51;24,16;12,75;3,47;0;4,99;11,63;13,22;19,88;19,21;16,64;8,55;3,4;1,94;0,56;0;5,08;5,44;9,17;16,43;23,51;24,16;12,75;3,47;0;4,99;11,63;13,22;19,88;19,21;16,64;8,55;3,4;1,94;0,56;0
11;Rondônia;Municipal;Rural;Capital;182,59;190,5;229,55;224,86;;;;;;;7,68;17,93;20,73;19,96;17,2;8,99;4,39;2,67;0,31;0,14;5,79;12,61;19,02;25,35;16,72;11,28;4,74;3,53;0,65;0,31;0;23,15;26,37;21,86;14,04;8,76;5,32;0,49;0;0;25,64;24,68;25,58;12,7;8,47;1,94;0,98;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Rural;Interior;191,35;206,39;245,08;247,44;;;;;;;5,85;15,91;17,86;18,8;17,42;12,96;7,37;2,36;1,05;0,42;2,96;9,07;16,18;18,96;19,98;14,19;9,85;5,32;2,57;0,62;0,31;19,42;16,65;16,58;18,98;14,39;9,11;4,19;0,68;0;13,77;18,2;21,48;19,65;14,21;8,4;3,39;0,7;0,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Rural;Total;189;202,13;243,19;244,68;;;;;;;6,34;16,45;18,63;19,11;17,36;11,9;6,57;2,45;0,85;0,35;3,72;10,02;16,94;20,67;19,1;13,41;8,48;4,84;2,06;0,54;0,23;19,87;17,84;17,22;18,37;13,71;8,65;3,74;0,6;0;15,22;18,99;21,98;18,8;13,51;7,61;3,09;0,61;0,17;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Total;Capital;196,96;202,11;229,55;224,86;;;;;;;6,07;13,05;15,19;18,46;18,97;14,48;7,87;4,13;1,39;0,39;3,09;9,5;16,29;22,58;19,56;13,95;8,61;3,94;1,72;0,57;0,2;23,15;26,37;21,86;14,04;8,76;5,32;0,49;0;0;25,64;24,68;25,58;12,7;8,47;1,94;0,98;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Total;Interior;199,96;211,73;245,07;246,27;;;;;;;4,91;11,88;15,76;18,39;18,9;14,69;8,75;4,5;1,68;0,54;2,31;7,86;13,82;19,32;18,87;15,65;11,28;6,58;3,13;0,91;0,27;19,53;16,51;16,95;18,61;15,09;8,85;3,67;0,8;0;14,43;18,68;21,25;19,76;13,94;7,73;3,04;0,91;0,25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Total;Total;199,11;208,98;243,79;244,5;;;;;;;5,24;12,21;15,6;18,41;18,92;14,63;8,5;4,39;1,6;0,49;2,53;8,33;14,52;20,25;19,07;15,16;10,52;5,83;2,73;0,81;0,25;19,82;17,32;17,36;18,23;14,57;8,56;3,41;0,73;0;15,36;19,18;21,61;19,18;13,49;7,25;2,87;0,83;0,23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Urbana;Capital;199,2;203,91;;;;;;;;;5,82;12,28;14,32;18,23;19,25;15,34;8,41;4,35;1,56;0,43;2,67;9,01;15,86;22,14;20;14,36;9,21;4,01;1,88;0,61;0,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Urbana;Interior;201,44;212,64;245,05;244,13;;;;;;;4,75;11,18;15,4;18,33;19,16;14,98;8,99;4,86;1,79;0,56;2,2;7,65;13,41;19,38;18,68;15,9;11,52;6,8;3,23;0,96;0,27;19,72;16,25;17,63;17,93;16,37;8,36;2,73;1;0;15,64;19,56;20,84;19,97;13,45;6,49;2,41;1,3;0,34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Municipal;Urbana;Total;200,8;210,13;245,05;244,13;;;;;;;5,06;11,5;15,09;18,3;19,18;15,09;8,82;4,72;1,73;0,52;2,34;8,04;14,12;20,18;19,06;15,46;10,86;5,99;2,84;0,86;0,26;19,72;16,25;17,63;17,93;16,37;8,36;2,73;1;0;15,64;19,56;20,84;19,97;13,45;6,49;2,41;1,3;0,34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Rondônia;Total - Estadual e Municipal;Rural;Capital;183,48;191,38;230,64;229,41;258,59;257,42;;;258,59;257,42;7,58;17,49;20,65;19,61;17,38;9,29;4,99;2,59;0,3;0,14;5,6;12,49;18,55;25,41;16,33;11,8;5,47;3,41;0,63;0,3;0;25,52;22,81;19,68;16,67;8,19;5,92;0,84;0,37;0;24,71;21,76;21,8;16,51;9,67;4,49;1,07;0;0;0;25,11;17,4;18,42;18,38;12,95;6,96;0,8;0;0;17,53;23,05;31,06;17,38;8,05;2,93;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;25,11;17,4;18,42;18,38;12,95;6,96;0,8;0;0;17,53;23,05;31,06;17,38;8,05;2,93;0;0;0;0;0
11;Rondônia;Total - Estadual e Municipal;Rural;Interior;191,35;206,39;243,55;245,88;257,81;259,49;269,57;272,06;260,1;261,95;5,85;15,91;17,86;18,8;17,42;12,96;7,37;2,36;1,05;0,42;2,96;9,07;16,18;18,96;19,98;14,19;9,85;5,32;2,57;0,62;0,31;20,48;16,72;16,97;18,5;14,09;8,64;4,02;0,57;0;14,81;18,46;21,77;18,9;14,04;8,24;2,93;0,69;0,16;0;27,94;17,61;17,88;17,15;11,24;5,81;2,36;0;0;18,32;25,15;21,88;16,44;15,21;2,31;0,7;0;0;0;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;25,41;17,49;18,63;18,59;11,63;5,41;2,82;0;0;16,94;21,9;26,29;14,69;15,56;4,05;0,56;0;0;0;0
11;Rondônia;Total - Estadual e Municipal;Rural;Total;189,19;202,27;240,83;242,42;258,18;258,49;269,57;272,06;259,45;260,01;6,32;16,35;18,62;19,02;17,41;11,95;6,72;2,42;0,84;0,34;3,68;10,01;16,83;20,73;18,97;13,53;8,65;4,79;2,04;0,54;0,23;21,54;18;17,54;18,12;12,85;8,07;3,35;0,53;0;16,89;19,15;21,78;18,4;13,12;7,45;2,54;0,55;0,13;0;26,58;17,51;18,14;17,74;12,06;6,37;1,61;0;0;17,94;24,14;26,3;16,89;11,76;2,61;0,36;0;0;0;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;25,28;17,45;18,54;18,5;12,19;6,07;1,96;0;0;17,19;22,39;28,33;15,84;12,35;3,57;0,32;0;0;0;0
11;Rondônia;Total - Estadual e Municipal;Total;Capital;199,35;204,49;249,07;240,63;271,75;263,62;;;271,75;263,62;5,76;12,3;14,84;18,16;18,56;15,11;8,41;4,74;1,6;0,53;2,92;8,96;15,6;21,83;19,43;14,48;9,55;4,5;1,92;0,58;0,22;16,63;15,17;18,87;18,66;15,59;10,13;3,91;1;0,03;17,44;20,72;21,57;18,4;12,68;6,58;1,86;0,64;0,07;0,03;19,28;13,87;17,67;18,47;15,93;10,11;3,72;0,92;0,03;18,89;21,52;22,48;18,09;10,35;5,36;2,22;0,69;0,34;0,07;0;;;;;;;;;;;;;;;;;;;;;19,28;13,87;17,67;18,47;15,93;10,11;3,72;0,92;0,03;18,89;21,52;22,48;18,09;10,35;5,36;2,22;0,69;0,34;0,07;0
11;Rondônia;Total - Estadual e Municipal;Total;Interior;200,95;212,72;247,31;248,36;267,02;265,26;269,57;272,06;267,03;265,29;4,83;11,76;15,4;18,17;18,81;14,86;9,01;4,82;1,82;0,53;2,23;7,78;13,24;19,06;19,02;15,83;11,61;6,77;3,28;0,92;0,26;18,92;15,02;17,57;17,92;15,55;9,78;4,14;1,07;0,03;14,73;16,86;20,28;19,24;15,03;9,05;3,49;1,01;0,27;0,04;21,41;15,15;18,26;18,86;14,16;8,16;3,47;0,53;0,01;18,45;19,77;22,32;19,36;11,37;5,53;2,22;0,72;0,22;0,04;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;21,38;15,16;18,28;18,88;14,15;8,14;3,47;0,52;0,01;18,42;19,73;22,4;19,31;11,39;5,55;2,21;0,72;0,22;0,04;0
11;Rondônia;Total - Estadual e Municipal;Total;Total;200,49;210,38;247,8;246,24;268,42;264,77;269,57;272,06;268,42;264,79;5,09;11,91;15,24;18,17;18,73;14,93;8,84;4,8;1,75;0,53;2,43;8,12;13,91;19,85;19,14;15,45;11,02;6,12;2,89;0,82;0,25;18,29;15,06;17,92;18,12;15,56;9,88;4,08;1,05;0,03;15,47;17,91;20,63;19,01;14,39;8,38;3,05;0,91;0,21;0,04;20,78;14,77;18,09;18,74;14,68;8,74;3,54;0,64;0,01;18,58;20,29;22,37;18,98;11,07;5,48;2,22;0,71;0,25;0,05;0;15;17;21,75;24,5;13,25;3,75;4,75;0;0;11,25;8,5;44,5;7,5;17;11,25;0;0;0;0;0;20,76;14,78;18,1;18,76;14,68;8,72;3,55;0,64;0,01;18,56;20,26;22,43;18,95;11,08;5,5;2,21;0,71;0,25;0,05;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Capital;201,5;206,27;250,76;241,66;272,22;263,84;;;272,22;263,84;5,51;11,6;14,05;17,97;18,72;15,9;8,87;5,03;1,77;0,59;2,56;8,48;15,2;21,35;19,85;14,85;10,1;4,64;2,1;0,61;0,25;15,82;14,48;18,8;18,85;16,26;10,52;4,19;1,05;0,04;16,77;20,63;21,54;18,58;12,96;6,77;1,93;0,7;0,08;0,04;19,08;13,75;17,64;18,48;16,03;10,22;3,82;0,96;0,03;18,94;21,47;22,18;18,12;10,43;5,45;2,29;0,71;0,35;0,07;0;;;;;;;;;;;;;;;;;;;;;19,08;13,75;17,64;18,48;16,03;10,22;3,82;0,96;0,03;18,94;21,47;22,18;18,12;10,43;5,45;2,29;0,71;0,35;0,07;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Interior;202,32;213,63;247,82;248,69;267,17;265,35;;;267,17;265,35;4,68;11,16;15,04;18,08;19;15,14;9,24;5,17;1,93;0,55;2,13;7,6;12,81;19,07;18,88;16,07;11,86;6,98;3,38;0,96;0,26;18,71;14,79;17,65;17,84;15,75;9,93;4,16;1,14;0,03;14,72;16,64;20,07;19,28;15,17;9,16;3,57;1,06;0,28;0,04;21,3;15,11;18,27;18,89;14,2;8,19;3,49;0,53;0,01;18,45;19,69;22,33;19,4;11,31;5,58;2,24;0,73;0,22;0,04;0;;;;;;;;;;;;;;;;;;;;;21,3;15,11;18,27;18,89;14,2;8,19;3,49;0,53;0,01;18,45;19,69;22,33;19,4;11,31;5,58;2,24;0,73;0,22;0,04;0
11;Rondônia;Total - Estadual e Municipal;Urbana;Total;202,09;211,52;248,65;246,71;268,64;264,91;;;268,64;264,91;4,92;11,29;14,76;18,05;18,92;15,35;9,14;5,13;1,88;0,56;2,25;7,85;13,5;19,72;19,16;15,72;11,36;6,31;3,02;0,86;0,26;17,9;14,7;17,97;18,12;15,89;10,1;4,17;1,12;0,03;15,3;17,76;20,49;19,08;14,55;8,49;3,11;0,96;0,22;0,04;20,65;14,71;18,09;18,77;14,74;8,79;3,58;0,66;0,01;18,59;20,21;22,28;19,03;11,05;5,54;2,26;0,73;0,26;0,05;0;;;;;;;;;;;;;;;;;;;;;20,65;14,71;18,09;18,77;14,74;8,79;3,58;0,66;0,01;18,59;20,21;22,28;19,03;11,05;5,54;2,26;0,73;0,26;0,05;0
