CO_REGIAO;NO_REGIAO;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;MEDIA_13_LP;MEDIA_13_MT;MEDIA_14_LP;MEDIA_14_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LPEMT;nivel_1_LPEMT;nivel_2_LPEMT;nivel_3_LPEMT;nivel_4_LPEMT;nivel_5_LPEMT;nivel_6_LPEMT;nivel_7_LPEMT;nivel_8_LPEMT;nivel_0_MTEMT;nivel_1_MTEMT;nivel_2_MTEMT;nivel_3_MTEMT;nivel_4_MTEMT;nivel_5_MTEMT;nivel_6_MTEMT;nivel_7_MTEMT;nivel_8_MTEMT;nivel_9_MTEMT;nivel_10_MTEMT;nivel_0_LPEMI;nivel_1_LPEMI;nivel_2_LPEMI;nivel_3_LPEMI;nivel_4_LPEMI;nivel_5_LPEMI;nivel_6_LPEMI;nivel_7_LPEMI;nivel_8_LPEMI;nivel_0_MTEMI;nivel_1_MTEMI;nivel_2_MTEMI;nivel_3_MTEMI;nivel_4_MTEMI;nivel_5_MTEMI;nivel_6_MTEMI;nivel_7_MTEMI;nivel_8_MTEMI;nivel_9_MTEMI;nivel_10_MTEMI;nivel_0_LPEM;nivel_1_LPEM;nivel_2_LPEM;nivel_3_LPEM;nivel_4_LPEM;nivel_5_LPEM;nivel_6_LPEM;nivel_7_LPEM;nivel_8_LPEM;nivel_0_MTEM;nivel_1_MTEM;nivel_2_MTEM;nivel_3_MTEM;nivel_4_MTEM;nivel_5_MTEM;nivel_6_MTEM;nivel_7_MTEM;nivel_8_MTEM;nivel_9_MTEM;nivel_10_MTEM
1;Norte;Federal;Rural;Interior;;;;;;;290,45;282,81;290,45;282,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,26;10,41;14,72;20,31;23,72;13,97;7,12;1,48;0;9,82;13,54;22,19;21,5;13,23;11,57;6,54;1,26;0,35;0;0;8,26;10,41;14,72;20,31;23,72;13,97;7,12;1,48;0;9,82;13,54;22,19;21,5;13,23;11,57;6,54;1,26;0,35;0;0
1;Norte;Federal;Rural;Total;;;;;;;289,84;282,97;289,84;282,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,77;10,11;14,83;20,52;23,88;13,69;6,81;1,39;0;9,9;13,5;21,64;21,39;13,9;11,78;6,25;1,31;0,33;0;0;8,77;10,11;14,83;20,52;23,88;13,69;6,81;1,39;0;9,9;13,5;21,64;21,39;13,9;11,78;6,25;1,31;0,33;0;0
1;Norte;Federal;Total;Capital;238,25;231,04;292,9;304,02;318,36;321,1;309,71;305,29;311,56;308,67;1,06;1,47;6,57;11,78;15,03;23,93;18,75;13,5;6,44;1,47;0;1,54;7,04;17,46;21,51;21,31;14,09;10,47;3,58;2;0,99;6,11;4,8;7,48;12,63;17,97;21,25;18,82;10,41;0,52;4,73;4,14;9,31;11,27;18,14;17,05;13,28;8,47;7,97;5,65;5,51;4,08;7,47;12,21;18,94;23,74;19,77;7,47;0,8;5,61;6,99;11,57;16,3;10,8;15,09;12,39;9,66;6,42;4,92;0,24;4,73;5,76;9,99;13,98;24,38;23,88;13,53;3,66;0,1;5,93;8,82;14,35;17,04;18,5;14,39;12,39;4,53;3,47;0,58;0;4,9;5,4;9,45;13,6;23,22;23,85;14,86;4,47;0,25;5,86;8,43;13,76;16,88;16,85;14,54;12,39;5,62;4,1;1,51;0,05
1;Norte;Federal;Total;Interior;;;;;;;297,6;286,81;297,6;286,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,21;8,72;13,07;19,56;21,7;17,86;9,37;2,43;0,09;9,78;11,66;19,97;20,76;16,66;12,52;5,82;2,08;0,67;0,09;0;7,21;8,72;13,07;19,56;21,7;17,86;9,37;2,43;0,09;9,78;11,66;19,97;20,76;16,66;12,52;5,82;2,08;0,67;0,09;0
1;Norte;Federal;Total;Total;238,25;231,04;292,9;304,02;318,36;321,1;301,26;292,4;302,56;294,57;1,06;1,47;6,57;11,78;15,03;23,93;18,75;13,5;6,44;1,47;0;1,54;7,04;17,46;21,51;21,31;14,09;10,47;3,58;2;0,99;6,11;4,8;7,48;12,63;17,97;21,25;18,82;10,41;0,52;4,73;4,14;9,31;11,27;18,14;17,05;13,28;8,47;7,97;5,65;5,51;4,08;7,47;12,21;18,94;23,74;19,77;7,47;0,8;5,61;6,99;11,57;16,3;10,8;15,09;12,39;9,66;6,42;4,92;0,24;6,46;7,82;12,14;17,87;22,51;19,68;10,63;2,8;0,09;8,61;10,8;18,27;19,64;17,22;13,08;7,8;2,82;1,51;0,24;0;6,39;7,54;11,79;17,44;22,24;19,98;11,32;3,15;0,15;8,39;10,51;17,76;19,38;16,73;13,23;8,15;3,34;1,89;0,6;0,02
1;Norte;Federal;Urbana;Capital;238,25;231,04;292,9;304,02;318,36;321,1;310,5;305,83;312,21;309,16;1,06;1,47;6,57;11,78;15,03;23,93;18,75;13,5;6,44;1,47;0;1,54;7,04;17,46;21,51;21,31;14,09;10,47;3,58;2;0,99;6,11;4,8;7,48;12,63;17,97;21,25;18,82;10,41;0,52;4,73;4,14;9,31;11,27;18,14;17,05;13,28;8,47;7,97;5,65;5,51;4,08;7,47;12,21;18,94;23,74;19,77;7,47;0,8;5,61;6,99;11,57;16,3;10,8;15,09;12,39;9,66;6,42;4,92;0,24;4,41;5,76;9,81;13,72;24,33;24,27;13,84;3,75;0,1;5,79;8,71;14,38;16,97;18,34;14,37;12,67;4,59;3,56;0,59;0;4,65;5,4;9,3;13,39;23,15;24,15;15,14;4,56;0,26;5,75;8,34;13,77;16,82;16,7;14,53;12,61;5,7;4,19;1,54;0,05
1;Norte;Federal;Urbana;Interior;;;;;;;299,12;287,66;299,12;287,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,99;8,36;12,72;19,4;21,27;18,68;9,85;2,63;0,11;9,77;11,26;19,5;20,6;17,39;12,72;5,67;2,26;0,73;0,11;0;6,99;8,36;12,72;19,4;21,27;18,68;9,85;2,63;0,11;9,77;11,26;19,5;20,6;17,39;12,72;5,67;2,26;0,73;0,11;0
1;Norte;Federal;Urbana;Total;238,25;231,04;292,9;304,02;318,36;321,1;302,97;293,81;304,3;296,16;1,06;1,47;6,57;11,78;15,03;23,93;18,75;13,5;6,44;1,47;0;1,54;7,04;17,46;21,51;21,31;14,09;10,47;3,58;2;0,99;6,11;4,8;7,48;12,63;17,97;21,25;18,82;10,41;0,52;4,73;4,14;9,31;11,27;18,14;17,05;13,28;8,47;7,97;5,65;5,51;4,08;7,47;12,21;18,94;23,74;19,77;7,47;0,8;5,61;6,99;11,57;16,3;10,8;15,09;12,39;9,66;6,42;4,92;0,24;6,12;7,48;11,74;17,48;22,3;20,57;11,2;3,01;0,11;8,42;10,4;17,77;19,37;17,71;13,28;8,04;3,05;1,69;0,28;0;6,06;7,19;11,37;17,02;22,01;20,85;11,94;3,39;0,17;8,18;10,1;17,23;19,11;17,12;13,43;8,41;3,62;2,1;0,68;0,02
1;Norte;Municipal;Rural;Capital;194,07;206,32;251,07;250,24;;;;;;;5,85;14,63;17,29;18,69;17,49;13,32;7,15;3,82;1,07;0,68;3,58;9,76;14,65;20,35;17,83;14,86;9,07;5,97;2,48;1,16;0,28;14,82;15,79;18,18;20,12;14,73;11,69;3,32;1,25;0,11;13,1;15,86;22,2;20;15,27;8,54;3,05;1,66;0,22;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;Municipal;Rural;Interior;169,34;179,26;225,72;226,76;;;;;;;13,44;25,81;22,02;16,25;10,95;6,43;3,18;1,37;0,44;0,12;8,13;20,35;23,21;20,08;13,16;7,75;4,12;2,02;0,83;0,29;0,07;29,86;22,26;20,25;13,91;8,25;3,94;1,31;0,2;0,01;27,04;25,17;20,92;13,55;7,64;3,44;1,29;0,53;0,36;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;Municipal;Rural;Total;170,87;180,95;226,45;227,43;;;;;;;12,97;25,12;21,72;16,41;11,35;6,86;3,43;1,52;0,48;0,15;7,85;19,69;22,68;20,1;13,45;8,19;4,43;2,26;0,93;0,34;0,08;29,43;22,07;20,19;14,09;8,44;4,16;1,37;0,23;0,01;26,64;24,9;20,96;13,74;7,86;3,59;1,34;0,56;0,35;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;Municipal;Total;Capital;205,66;216,64;258,59;253,77;;;275,96;260,98;275,96;260,98;4,78;11,52;14,03;16,36;17,44;15,54;10,51;6,07;2,66;1,1;2,27;7,57;12,57;17,88;17,93;15,87;11,57;7,83;4,17;1,73;0,63;13,09;12,41;16,65;18,67;18,1;13,01;6,18;1,8;0,1;12,72;15,67;19,43;19,85;15,79;9,42;4,31;1,95;0,6;0,25;;;;;;;;;;;;;;;;;;;;;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0
1;Norte;Municipal;Total;Interior;183,9;193,01;236,98;234,11;;;;;;;9,2;19,04;19,18;17,66;14,78;10,25;5,79;2,79;1,01;0,3;5,19;14,28;19,36;20,86;16,51;11,06;6,88;3,62;1,57;0,5;0,15;22,62;19,25;20,13;16,74;11,85;6,47;2,39;0,52;0,02;21,75;22,71;21,54;16,26;10,35;4,86;1,71;0,56;0,21;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;Municipal;Total;Total;188,94;198,49;240,22;237,06;;;275,96;260,98;275,96;260,98;8,17;17,3;17,99;17,36;15,39;11,48;6,88;3,55;1,39;0,49;4,52;12,73;17,79;20,17;16,84;12,17;7,97;4,6;2,17;0,78;0,26;21,19;18,22;19,61;17,03;12,79;7,45;2,96;0,71;0,03;20,39;21,65;21,23;16,8;11,17;5,55;2,1;0,77;0,27;0,07;;;;;;;;;;;;;;;;;;;;;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0
1;Norte;Municipal;Urbana;Capital;206,39;217,29;259,1;254,01;;;275,96;260,98;275,96;260,98;4,71;11,32;13,82;16,21;17,43;15,68;10,72;6,21;2,77;1,13;2,18;7,43;12,43;17,72;17,94;15,93;11,73;7,95;4,27;1,76;0,65;12,97;12,18;16,54;18,57;18,32;13,1;6,38;1,84;0,1;12,69;15,66;19,25;19,84;15,83;9,48;4,4;1,96;0,63;0,26;;;;;;;;;;;;;;;;;;;;;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0
1;Norte;Municipal;Urbana;Interior;189,3;198,12;243,89;238,61;;;;;;;7,62;16,53;18,13;18,18;16,2;11,68;6,76;3,32;1,22;0,37;4,11;12,03;17,93;21,15;17,76;12,29;7,91;4,22;1,85;0,58;0,19;18,18;17,41;20,06;18,47;14,06;8,03;3,06;0,72;0,03;18,5;21,2;21,93;17,93;12,02;5,74;1,98;0,58;0,11;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;Municipal;Urbana;Total;194,09;203,49;247,09;241,85;;;275,96;260,98;275,96;260,98;6,81;15,07;16,92;17,63;16,54;12,8;7,87;4,13;1,65;0,58;3,57;10,74;16,39;20,19;17,81;13,31;8,98;5,26;2,53;0,91;0,32;17,08;16,31;19,32;18,49;14,96;9,09;3,75;0,96;0,04;17,28;20,03;21,36;18,33;12,82;6,52;2,49;0,87;0,22;0,08;;;;;;;;;;;;;;;;;;;;;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0;14,81;11,11;14,81;29,63;22,22;3,7;3,7;0;0;22,22;11,11;25,93;22,22;14,81;3,7;0;0;0;0;0
1;Norte;Total - Estadual e Municipal;Rural;Capital;192;203,27;241,2;237,7;248,2;245,79;;;248,2;245,79;6,18;15,75;17,2;19,11;17,3;12,7;6,56;3,63;0,99;0,59;3,64;10,97;15,37;21,44;17,28;14;8,46;5,47;2,07;1,02;0,27;19,91;18,54;19,15;18,62;12,69;7,84;2,44;0,78;0,05;19,17;21,37;21,87;17,92;11,29;5,7;1,68;0,81;0,15;0,04;33,71;18,56;17,6;16,22;9,55;3,63;0,48;0,25;0;32,35;24;20,84;14,01;6,04;2,64;0,12;0;0;0;0;;;;;;;;;;;;;;;;;;;;;33,71;18,56;17,6;16,22;9,55;3,63;0,48;0,25;0;32,35;24;20,84;14,01;6,04;2,64;0,12;0;0;0;0
1;Norte;Total - Estadual e Municipal;Rural;Interior;169,43;179,32;225,23;225,75;233,88;237,6;263,95;258,44;234,38;237,95;13,49;25,78;21,99;16,13;10,95;6,48;3,24;1,36;0,45;0,14;8,16;20,33;23,2;20,07;13,14;7,71;4,11;2,06;0,85;0,3;0,08;30,8;21,82;19,79;13,84;8,22;3,94;1,35;0,22;0,02;27,86;24,81;20,9;13,52;7,49;3,36;1,23;0,48;0,29;0,05;45,06;21,33;15,87;10,29;4,79;1,96;0,6;0,09;0;40,59;25,98;17,87;9,94;4,07;1,16;0,28;0,08;0,04;0;0;21,05;16,2;21,71;19,68;13;6,36;1,73;0,26;0;22;21,75;23,92;18,14;8,66;4,21;1,32;0;0;0;0;44,66;21,25;15,97;10,44;4,93;2,03;0,62;0,09;0;40,28;25,91;17,97;10,08;4,15;1,21;0,3;0,08;0,04;0;0
1;Norte;Total - Estadual e Municipal;Rural;Total;171,19;181,18;226,03;226,35;234,41;237,91;263,95;258,44;234,89;238,24;12,93;25;21,61;16,36;11,44;6,96;3,5;1,54;0,49;0,17;7,81;19,6;22,59;20,17;13,46;8,2;4,45;2,32;0,94;0,36;0,09;30,25;21,66;19,76;14,08;8,44;4,14;1,4;0,25;0,02;27,42;24,64;20,95;13,74;7,68;3,48;1,25;0,49;0,28;0,05;44,63;21,23;15,94;10,51;4,97;2,02;0,6;0,1;0;40,28;25,9;17,98;10,1;4,14;1,21;0,28;0,07;0,04;0;0;21,05;16,2;21,71;19,68;13;6,36;1,73;0,26;0;22;21,75;23,92;18,14;8,66;4,21;1,32;0;0;0;0;44,26;21,15;16,03;10,65;5,1;2,09;0,62;0,1;0;39,99;25,84;18,07;10,23;4,22;1,26;0,29;0,07;0,03;0;0
1;Norte;Total - Estadual e Municipal;Total;Capital;207,63;217,54;255,12;248,2;267,86;259,38;282,45;267,21;268,29;259,61;4,6;11,04;13,52;15,94;17,35;15,84;11,02;6,52;2,95;1,21;2,21;7,28;12,38;17,58;18,08;15,88;11,88;8,09;4,28;1,73;0,6;15,12;13,14;16,65;18,47;17,1;12,25;5,62;1,59;0,08;15,22;17,57;19,85;18,85;14,51;8,39;3,71;1,39;0,37;0,13;21,15;15,01;18,19;17,87;14,91;8,93;3,24;0,67;0,03;22,89;21,49;21,88;17,14;9,34;4,45;1,82;0,65;0,28;0,06;0;12,56;11,55;15,71;22,82;19,79;11,65;4,74;1,18;0;15,95;21,39;20,48;21,78;10,94;5,64;2,74;0,6;0,48;0;0;20,9;14,91;18,12;18,02;15,05;9,01;3,29;0,68;0,03;22,68;21,49;21,84;17,28;9,39;4,48;1,85;0,65;0,28;0,06;0
